sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,class_balance,problem,set,close_train_idx,distance,difficulty
0.98,0,49,1,0,50,29,0,0,0,0,1,0,8,0,1,0,1,0,0,"(array([0.80382621, 0.85167927, 0.80155593, 0.80495125, 0.74771708]), array([0.73716158, 0.61327785, 0.73975384, 0.68338394, 0.76585525]), array([0.25322437, 0.37357131, 0.25073433, 0.30575988, 0.22501265]), array([0.20641641, 0.15667614, 0.20872623, 0.20440684, 0.26373574]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)']","[0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.07698922345355544, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.0760134204676408, 0.42334680938007613, 0.42334680938007613, 0.07698922345355544, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.07698922345355544, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.4858736044909489, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.8926792694620189, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.07698922345355544, 0.07698922345355544, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.07698922345355544, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.42334680938007613, 0.07698922345355544]",0.0,0,test,,0.0,0
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.80382621, 0.85167927, 0.80155593, 0.80495125, 0.74771708]), array([0.73716158, 0.61327785, 0.73975384, 0.68338394, 0.76585525]), array([0.25322437, 0.37357131, 0.25073433, 0.30575988, 0.22501265]), array([0.20641641, 0.15667614, 0.20872623, 0.20440684, 0.26373574]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)']","[0.9989021882662116, 0.9876944041345666, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9877012564039105, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116]",1.0,1,test,,0.0,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.80382621, 0.85167927, 0.80155593, 0.80495125, 0.74771708]), array([0.73716158, 0.61327785, 0.73975384, 0.68338394, 0.76585525]), array([0.25322437, 0.37357131, 0.25073433, 0.30575988, 0.22501265]), array([0.20641641, 0.15667614, 0.20872623, 0.20440684, 0.26373574]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)']","[0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.8999928232545118, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116]",1.0,2,test,,0.0,9
0.98,49,0,0,1,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.80382621, 0.85167927, 0.80155593, 0.80495125, 0.74771708]), array([0.73716158, 0.61327785, 0.73975384, 0.68338394, 0.76585525]), array([0.25322437, 0.37357131, 0.25073433, 0.30575988, 0.22501265]), array([0.20641641, 0.15667614, 0.20872623, 0.20440684, 0.26373574]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)']","[0.9205375727315581, 0.9989021882662116, 0.9904196237676164, 0.9904196237676164, 0.9989021882662116, 0.9135432124265491, 0.9989021882662116, 0.9895062297223347, 0.8999928232545118, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.8927332841060791, 0.9989021882662116, 0.9135432124265491, 0.9135432124265491, 0.8999928232545118, 0.9877012564039105, 0.5055544443460938, 0.9902876738772546, 0.9135432124265491, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9895062297223347, 0.9989021882662116, 0.4825648534016281, 0.9135432124265491, 0.9989021882662116, 0.9989021882662116, 0.9895062297223347, 0.9877012564039105, 0.9989021882662116, 0.9895062297223347, 0.9904196237676164, 0.9989021882662116, 0.545563200758298, 0.9895062297223347, 0.9135432124265491, 0.9895062297223347, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9135432124265491, 0.9904196237676164, 0.8927332841060791, 0.9989021882662116, 0.9989021882662116]",1.0,3,test,,0.0,9
0.78,34,5,10,1,50,1,0,1,0,0,0,1,1,1,0,0,0,1,0,"(array([0.80382621, 0.85167927, 0.80155593, 0.80495125, 0.74771708]), array([0.73716158, 0.61327785, 0.73975384, 0.68338394, 0.76585525]), array([0.25322437, 0.37357131, 0.25073433, 0.30575988, 0.22501265]), array([0.20641641, 0.15667614, 0.20872623, 0.20440684, 0.26373574]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)']","[0.9205375727315581, 0.9989021882662116, 0.9877012564039105, 0.9012291490685144, 0.8763016462505758, 0.44594662891289755, 0.8927332841060791, 0.8926792694620189, 0.9876944041345666, 0.8999928232545118, 0.9877012564039105, 0.9877012564039105, 0.9902876738772546, 0.8926792694620189, 0.0760134204676408, 0.8999928232545118, 0.9895062297223347, 0.4825648534016281, 0.8999420544661288, 0.9904196237676164, 0.9902876738772546, 0.9895062297223347, 0.9989021882662116, 0.9012291490685144, 0.8999928232545118, 0.8999928232545118, 0.9876944041345666, 0.9989021882662116, 0.9989021882662116, 0.8999928232545118, 0.8999420544661288, 0.48601447668483316, 0.9877012564039105, 0.8999420544661288, 0.9146279135409234, 0.9877012564039105, 0.9877012564039105, 0.8999928232545118, 0.9989021882662116, 0.8999928232545118, 0.8999928232545118, 0.9989021882662116, 0.4824240426057442, 0.9877012564039105, 0.0760134204676408, 0.9902876738772546, 0.8927332841060791, 0.545563200758298, 0.9989021882662116, 0.9989021882662116]",0.7,4,test,,0.0,6
0.86,40,3,3,4,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.80382621, 0.85167927, 0.80155593, 0.80495125, 0.74771708]), array([0.73716158, 0.61327785, 0.73975384, 0.68338394, 0.76585525]), array([0.25322437, 0.37357131, 0.25073433, 0.30575988, 0.22501265]), array([0.20641641, 0.15667614, 0.20872623, 0.20440684, 0.26373574]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)']","[0.8927332841060791, 0.9989021882662116, 0.9895062297223347, 0.9895062297223347, 0.42334680938007613, 0.9895062297223347, 0.545563200758298, 0.0760134204676408, 0.9895062297223347, 0.4825648534016281, 0.9895062297223347, 0.9895062297223347, 0.9895062297223347, 0.0760134204676408, 0.9895062297223347, 0.9146279135409234, 0.9895062297223347, 0.42334680938007613, 0.9895062297223347, 0.9895062297223347, 0.9876944041345666, 0.9895062297223347, 0.9146279135409234, 0.9895062297223347, 0.9146279135409234, 0.9135432124265491, 0.8926792694620189, 0.9146279135409234, 0.9146279135409234, 0.9895062297223347, 0.9895062297223347, 0.4858736044909489, 0.9989021882662116, 0.9895062297223347, 0.9895062297223347, 0.9895062297223347, 0.9895062297223347, 0.8927332841060791, 0.9895062297223347, 0.0760134204676408, 0.9146279135409234, 0.9895062297223347, 0.9895062297223347, 0.9902876738772546, 0.9895062297223347, 0.9135432124265491, 0.9895062297223347, 0.9895062297223347, 0.545563200758298, 0.9895062297223347]",0.88,5,test,,0.0,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.80382621, 0.85167927, 0.80155593, 0.80495125, 0.74771708]), array([0.73716158, 0.61327785, 0.73975384, 0.68338394, 0.76585525]), array([0.25322437, 0.37357131, 0.25073433, 0.30575988, 0.22501265]), array([0.20641641, 0.15667614, 0.20872623, 0.20440684, 0.26373574]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)']","[0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9012291490685144, 0.9989021882662116, 0.9877012564039105, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9902876738772546, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9902876738772546, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9902876738772546, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116]",1.0,6,test,,0.0,9
0.86,40,3,5,2,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.80382621, 0.85167927, 0.80155593, 0.80495125, 0.74771708]), array([0.73716158, 0.61327785, 0.73975384, 0.68338394, 0.76585525]), array([0.25322437, 0.37357131, 0.25073433, 0.30575988, 0.22501265]), array([0.20641641, 0.15667614, 0.20872623, 0.20440684, 0.26373574]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)']","[0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.8763016462505758, 0.9989021882662116, 0.8926792694620189, 0.9895062297223347, 0.9989021882662116, 0.009260314734540809, 0.8927332841060791, 0.9989021882662116, 0.8927332841060791, 0.9904196237676164, 0.9989021882662116, 0.8999928232545118, 0.9989021882662116, 0.9989021882662116, 0.42334680938007613, 0.9989021882662116, 0.9876944041345666, 0.9989021882662116, 0.4825648534016281, 0.8926792694620189, 0.9876944041345666, 0.9895062297223347, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.44253653898288775, 0.9135432124265491, 0.9895062297223347, 0.9012291490685144, 0.9989021882662116, 0.9989021882662116, 0.0760134204676408, 0.8927332841060791, 0.9876944041345666, 0.8763016462505758, 0.9989021882662116, 0.9877012564039105, 0.9904196237676164, 0.8763016462505758, 0.9902876738772546, 0.9989021882662116, 0.9876944041345666, 0.9989021882662116, 0.9904196237676164, 0.9135432124265491]",0.84,7,test,,0.0,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.80382621, 0.85167927, 0.80155593, 0.80495125, 0.74771708]), array([0.73716158, 0.61327785, 0.73975384, 0.68338394, 0.76585525]), array([0.25322437, 0.37357131, 0.25073433, 0.30575988, 0.22501265]), array([0.20641641, 0.15667614, 0.20872623, 0.20440684, 0.26373574]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)']","[0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9012291490685144, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9877012564039105, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9877012564039105, 0.9989021882662116, 0.9904196237676164]",1.0,8,test,,0.0,9
0.9,37,8,0,5,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.80382621, 0.85167927, 0.80155593, 0.80495125, 0.74771708]), array([0.73716158, 0.61327785, 0.73975384, 0.68338394, 0.76585525]), array([0.25322437, 0.37357131, 0.25073433, 0.30575988, 0.22501265]), array([0.20641641, 0.15667614, 0.20872623, 0.20440684, 0.26373574]))","['DeepSeekQwen (32B)', 'EurusPRMStage2_avg_scores (7.62B)', 'Qwen72B_scores (72B)', 'GPM (8B)', 'QwenPRM_min_scores (7.63B)']","[0.8999928232545118, 0.4824240426057442, 0.9989021882662116, 0.9135432124265491, 0.9902876738772546, 0.9135432124265491, 0.9989021882662116, 0.42334680938007613, 0.9877012564039105, 0.9989021882662116, 0.9902876738772546, 0.9989021882662116, 0.9904196237676164, 0.9989021882662116, 0.9989021882662116, 0.9989021882662116, 0.9877012564039105, 0.9902876738772546, 0.4825648534016281, 0.0760134204676408, 0.9989021882662116, 0.4824240426057442, 0.8999928232545118, 0.9989021882662116, 0.42334680938007613, 0.42334680938007613, 0.9989021882662116, 0.9989021882662116, 0.0760134204676408, 0.0760134204676408, 0.9989021882662116, 0.0760134204676408, 0.9989021882662116, 0.9989021882662116, 0.009260314734540809, 0.0760134204676408, 0.9989021882662116, 0.9904196237676164, 0.9012291490685144, 0.9135432124265491, 0.9904196237676164, 0.9902876738772546, 0.9902876738772546, 0.4825648534016281, 0.9989021882662116, 0.9989021882662116, 0.9904196237676164, 0.9135432124265491, 0.9989021882662116, 0.9205375727315581]",0.84,9,test,,0.0,8
