sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,class_balance,problem,set,close_train_idx,distance,difficulty
0.18,0,9,41,0,50,36,0,0,0,0,1,0,36,1,0,0,0,1,0,"(array([0.76605099, 0.7864452 , 0.82079637, 0.52000767]), array([0.7295503 , 0.68488622, 0.61101401, 0.77598321]), array([0.262651  , 0.30596665, 0.37751797, 0.21543086]), array([0.24020791, 0.21917006, 0.18358652, 0.48862723]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.3933903174531366, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.4185515478969097, 0.8389408378091066, 0.8389408378091066, 0.3933903174531366, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.3933903174531366, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.3933903174531366, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.3933903174531366, 0.3933903174531366, 0.9523070073371567, 0.8389408378091066, 0.8389408378091066, 0.3933903174531366, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.8389408378091066, 0.3933903174531366]",0.0,0,test,,0.0,0
1.0,50,0,0,0,50,21,1,1,1,0,0,0,21,1,1,1,0,0,0,"(array([0.76605099, 0.7864452 , 0.82079637, 0.52000767]), array([0.7295503 , 0.68488622, 0.61101401, 0.77598321]), array([0.262651  , 0.30596665, 0.37751797, 0.21543086]), array([0.24020791, 0.21917006, 0.18358652, 0.48862723]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.978787303236801, 0.8389408378091066, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.9943781066201578, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801]",1.0,1,test,,0.0,9
1.0,50,0,0,0,50,33,1,1,1,0,0,0,33,1,1,1,0,0,0,"(array([0.76605099, 0.7864452 , 0.82079637, 0.52000767]), array([0.7295503 , 0.68488622, 0.61101401, 0.77598321]), array([0.262651  , 0.30596665, 0.37751797, 0.21543086]), array([0.24020791, 0.21917006, 0.18358652, 0.48862723]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.9943781066201578, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.864434868579793, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801]",1.0,2,test,,0.0,9
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.76605099, 0.7864452 , 0.82079637, 0.52000767]), array([0.7295503 , 0.68488622, 0.61101401, 0.77598321]), array([0.262651  , 0.30596665, 0.37751797, 0.21543086]), array([0.24020791, 0.21917006, 0.18358652, 0.48862723]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.7526706011913514, 0.978787303236801, 0.8517335518765099, 0.9565614330357977, 0.978787303236801, 0.9606970043167053, 0.978787303236801, 0.978787303236801, 0.9606970043167053, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.9943781066201578, 0.9943781066201578, 0.9606970043167053, 0.9606970043167053, 0.9606970043167053, 0.978787303236801, 0.7526706011913514, 0.9606970043167053, 0.9606970043167053, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.9606970043167053, 0.9606970043167053, 0.9943781066201578, 0.978787303236801, 0.978787303236801, 0.9943781066201578, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.9943781066201578, 0.7526706011913514, 0.978787303236801, 0.9606970043167053, 0.9943781066201578, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.9606970043167053, 0.9565614330357977, 0.9943781066201578, 0.978787303236801, 0.978787303236801]",1.0,3,test,,0.0,9
0.76,34,4,11,1,50,1,0,1,0,0,0,1,1,1,0,0,0,1,0,"(array([0.76605099, 0.7864452 , 0.82079637, 0.52000767]), array([0.7295503 , 0.68488622, 0.61101401, 0.77598321]), array([0.262651  , 0.30596665, 0.37751797, 0.21543086]), array([0.24020791, 0.21917006, 0.18358652, 0.48862723]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.44254788709014453, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.8389408378091066, 0.3933903174531366, 0.978787303236801, 0.8389408378091066, 0.8389408378091066, 0.864434868579793, 0.978787303236801, 0.978787303236801, 0.864434868579793, 0.8389408378091066, 0.4185515478969097, 0.9606970043167053, 0.978787303236801, 0.864434868579793, 0.7339999172745043, 0.8517335518765099, 0.864434868579793, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.9606970043167053, 0.9606970043167053, 0.8389408378091066, 0.978787303236801, 0.978787303236801, 0.9606970043167053, 0.7339999172745043, 0.8517335518765099, 0.978787303236801, 0.7339999172745043, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.864434868579793, 0.978787303236801, 0.864434868579793, 0.864434868579793, 0.978787303236801, 0.7339999172745043, 0.978787303236801, 0.4185515478969097, 0.864434868579793, 0.978787303236801, 0.44254788709014453, 0.978787303236801, 0.978787303236801]",0.7,4,test,,0.0,6
0.88,43,1,5,1,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.76605099, 0.7864452 , 0.82079637, 0.52000767]), array([0.7295503 , 0.68488622, 0.61101401, 0.77598321]), array([0.262651  , 0.30596665, 0.37751797, 0.21543086]), array([0.24020791, 0.21917006, 0.18358652, 0.48862723]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.978787303236801, 0.9943781066201578, 0.978787303236801, 0.978787303236801, 0.8389408378091066, 0.978787303236801, 0.44254788709014453, 0.7339999172745043, 0.978787303236801, 0.9606970043167053, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.7339999172745043, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.8389408378091066, 0.9943781066201578, 0.978787303236801, 0.8389408378091066, 0.978787303236801, 0.9565614330357977, 0.978787303236801, 0.8517335518765099, 0.9606970043167053, 0.8389408378091066, 0.9565614330357977, 0.9565614330357977, 0.978787303236801, 0.978787303236801, 0.3933903174531366, 0.978787303236801, 0.9943781066201578, 0.978787303236801, 0.9943781066201578, 0.9943781066201578, 0.978787303236801, 0.978787303236801, 0.7339999172745043, 0.9565614330357977, 0.978787303236801, 0.978787303236801, 0.9606970043167053, 0.978787303236801, 0.9606970043167053, 0.9943781066201578, 0.978787303236801, 0.7526706011913514, 0.9943781066201578]",0.88,5,test,,0.0,8
1.0,50,0,0,0,50,6,1,1,1,0,0,0,6,1,1,1,0,0,0,"(array([0.76605099, 0.7864452 , 0.82079637, 0.52000767]), array([0.7295503 , 0.68488622, 0.61101401, 0.77598321]), array([0.262651  , 0.30596665, 0.37751797, 0.21543086]), array([0.24020791, 0.21917006, 0.18358652, 0.48862723]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.978787303236801, 0.978787303236801, 0.9565614330357977, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.9943781066201578, 0.9943781066201578, 0.8517335518765099, 0.9565614330357977, 0.9943781066201578, 0.978787303236801, 0.978787303236801, 0.9943781066201578, 0.978787303236801, 0.9943781066201578, 0.9943781066201578, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.9606970043167053, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.9943781066201578, 0.9943781066201578, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.9606970043167053, 0.9943781066201578, 0.9943781066201578, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.9943781066201578, 0.978787303236801, 0.9606970043167053, 0.8517335518765099, 0.978787303236801, 0.978787303236801, 0.978787303236801]",1.0,6,test,,0.0,9
0.88,42,2,6,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.76605099, 0.7864452 , 0.82079637, 0.52000767]), array([0.7295503 , 0.68488622, 0.61101401, 0.77598321]), array([0.262651  , 0.30596665, 0.37751797, 0.21543086]), array([0.24020791, 0.21917006, 0.18358652, 0.48862723]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.9943781066201578, 0.978787303236801, 0.9565614330357977, 0.9943781066201578, 0.8389408378091066, 0.978787303236801, 0.8389408378091066, 0.9943781066201578, 0.978787303236801, 0.2556999819024802, 0.978787303236801, 0.978787303236801, 0.978787303236801, 0.8517335518765099, 0.978787303236801, 0.864434868579793, 0.9943781066201578, 0.978787303236801, 0.8389408378091066, 0.978787303236801, 0.8389408378091066, 0.9943781066201578, 0.9606970043167053, 0.8389408378091066, 0.8389408378091066, 0.978787303236801, 0.9943781066201578, 0.978787303236801, 0.978787303236801, 0.9943781066201578, 0.4185515478969097, 0.864434868579793, 0.9943781066201578, 0.8517335518765099, 0.978787303236801, 0.9943781066201578, 0.7339999172745043, 0.9943781066201578, 0.9523070073371567, 0.8389408378091066, 0.978787303236801, 0.978787303236801, 0.9565614330357977, 0.8389408378091066, 0.864434868579793, 0.9943781066201578, 0.9523070073371567, 0.978787303236801, 0.9565614330357977, 0.9606970043167053]",0.84,7,test,,0.0,8
1.0,50,0,0,0,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.76605099, 0.7864452 , 0.82079637, 0.52000767]), array([0.7295503 , 0.68488622, 0.61101401, 0.77598321]), array([0.262651  , 0.30596665, 0.37751797, 0.21543086]), array([0.24020791, 0.21917006, 0.18358652, 0.48862723]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.978787303236801, 0.9943781066201578, 0.9943781066201578, 0.9565614330357977, 0.9943781066201578, 0.978787303236801, 0.9565614330357977, 0.978787303236801, 0.9565614330357977, 0.9943781066201578, 0.9943781066201578, 0.8517335518765099, 0.9943781066201578, 0.978787303236801, 0.9943781066201578, 0.978787303236801, 0.9943781066201578, 0.9565614330357977, 0.9943781066201578, 0.9565614330357977, 0.9943781066201578, 0.9943781066201578, 0.978787303236801, 0.8517335518765099, 0.9565614330357977, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.978787303236801, 0.9943781066201578, 0.978787303236801, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9565614330357977, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9565614330357977]",1.0,8,test,,0.0,9
0.88,41,3,5,1,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.76605099, 0.7864452 , 0.82079637, 0.52000767]), array([0.7295503 , 0.68488622, 0.61101401, 0.77598321]), array([0.262651  , 0.30596665, 0.37751797, 0.21543086]), array([0.24020791, 0.21917006, 0.18358652, 0.48862723]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.9606970043167053, 0.7339999172745043, 0.9943781066201578, 0.9606970043167053, 0.9606970043167053, 0.9606970043167053, 0.9943781066201578, 0.8389408378091066, 0.9943781066201578, 0.9943781066201578, 0.9606970043167053, 0.9943781066201578, 0.9565614330357977, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9943781066201578, 0.9606970043167053, 0.9606970043167053, 0.7339999172745043, 0.9943781066201578, 0.4185515478969097, 0.9606970043167053, 0.9943781066201578, 0.8389408378091066, 0.8389408378091066, 0.9943781066201578, 0.9943781066201578, 0.4185515478969097, 0.7339999172745043, 0.9943781066201578, 0.7339999172745043, 0.9943781066201578, 0.9943781066201578, 0.2556999819024802, 0.4185515478969097, 0.9943781066201578, 0.9565614330357977, 0.9565614330357977, 0.9606970043167053, 0.9565614330357977, 0.9606970043167053, 0.9606970043167053, 0.9606970043167053, 0.9943781066201578, 0.978787303236801, 0.9565614330357977, 0.9606970043167053, 0.9943781066201578, 0.7526706011913514]",0.84,9,test,,0.0,8
