sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,class_balance,problem,set,close_train_idx,distance,difficulty
1.0,50,0,0,0,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.77717739, 0.79753613, 0.84612471, 0.53017539]), array([0.68787545, 0.64195734, 0.55783588, 0.78137797]), array([0.30365112, 0.34828633, 0.42969179, 0.21042535]), array([0.23008156, 0.20897813, 0.15866156, 0.47928384]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.7835244807036437, 0.9905286019211926, 0.9369775215965718, 0.9622074916605386, 0.9622074916605386, 0.9905286019211926, 0.9379101797445469, 0.9905286019211926, 0.9622074916605386, 0.9905286019211926, 0.9379101797445469, 0.9369775215965718, 0.7835244807036437, 0.9379101797445469, 0.9622074916605386, 0.9622074916605386, 0.6822817588710224, 0.9622074916605386, 0.7835244807036437, 0.9905286019211926, 0.9622074916605386, 0.9622074916605386, 0.9905286019211926, 0.9905286019211926, 0.9622074916605386, 0.9369775215965718, 0.9379101797445469, 0.9905286019211926, 0.9622074916605386, 0.9622074916605386, 0.9369775215965718, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9905286019211926, 0.7835244807036437, 0.9622074916605386, 0.9379101797445469, 0.9622074916605386, 0.9622074916605386, 0.9905286019211926, 0.9622074916605386, 0.9905286019211926, 0.9622074916605386, 0.9622074916605386, 0.9905286019211926, 0.9622074916605386, 0.9622074916605386, 0.9905286019211926, 0.9622074916605386]",1.0,0,test,,0.0,9
0.98,49,0,0,1,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.77717739, 0.79753613, 0.84612471, 0.53017539]), array([0.68787545, 0.64195734, 0.55783588, 0.78137797]), array([0.30365112, 0.34828633, 0.42969179, 0.21042535]), array([0.23008156, 0.20897813, 0.15866156, 0.47928384]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.9622074916605386, 0.7835244807036437, 0.9905286019211926, 0.9369775215965718, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9369775215965718, 0.9905286019211926, 0.9622074916605386, 0.9318206770035824, 0.9622074916605386, 0.343312930888393, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.7689081131380032, 0.9369775215965718, 0.9905286019211926, 0.9905286019211926, 0.9369775215965718, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9622074916605386, 0.9318206770035824, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9379101797445469, 0.7862099059197092, 0.9622074916605386, 0.9905286019211926, 0.9622074916605386, 0.9905286019211926, 0.9369775215965718, 0.9905286019211926, 0.9369775215965718, 0.9622074916605386, 0.9905286019211926, 0.9905286019211926, 0.7835244807036437, 0.9622074916605386, 0.9622074916605386, 0.9905286019211926, 0.9905286019211926, 0.9369775215965718, 0.9622074916605386]",1.0,1,test,,0.0,9
1.0,50,0,0,0,50,8,1,1,1,0,0,0,8,1,1,1,0,0,0,"(array([0.77717739, 0.79753613, 0.84612471, 0.53017539]), array([0.68787545, 0.64195734, 0.55783588, 0.78137797]), array([0.30365112, 0.34828633, 0.42969179, 0.21042535]), array([0.23008156, 0.20897813, 0.15866156, 0.47928384]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.7835244807036437, 0.9622074916605386, 0.9905286019211926, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.9905286019211926, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.9622074916605386, 0.9905286019211926, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.7835244807036437, 0.9622074916605386, 0.7835244807036437, 0.9622074916605386, 0.7835244807036437, 0.7835244807036437, 0.9622074916605386, 0.9622074916605386, 0.9369775215965718, 0.7835244807036437, 0.9622074916605386, 0.7835244807036437, 0.9379101797445469, 0.7835244807036437, 0.7835244807036437, 0.7835244807036437, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386]",1.0,2,test,,0.0,9
0.64,26,6,17,1,50,4,1,1,1,0,0,0,4,1,1,1,0,0,0,"(array([0.77717739, 0.79753613, 0.84612471, 0.53017539]), array([0.68787545, 0.64195734, 0.55783588, 0.78137797]), array([0.30365112, 0.34828633, 0.42969179, 0.21042535]), array([0.23008156, 0.20897813, 0.15866156, 0.47928384]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.32111807636898987, 0.9622074916605386, 0.7689081131380032, 0.7689081131380032, 0.9905286019211926, 0.7862099059197092, 0.9622074916605386, 0.7689081131380032, 0.9622074916605386, 0.7689081131380032, 0.7689081131380032, 0.9622074916605386, 0.7689081131380032, 0.3245950540596075, 0.9622074916605386, 0.7862099059197092, 0.3245950540596075, 0.9622074916605386, 0.9622074916605386, 0.7689081131380032, 0.7835244807036437, 0.7689081131380032, 0.7689081131380032, 0.7689081131380032, 0.3245950540596075, 0.7689081131380032, 0.9622074916605386, 0.7689081131380032, 0.32111807636898987, 0.32111807636898987, 0.9369775215965718, 0.7689081131380032, 0.7689081131380032, 0.7689081131380032, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.7689081131380032, 0.3245950540596075, 0.7689081131380032, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.7689081131380032, 0.9622074916605386, 0.7689081131380032, 0.7689081131380032, 0.9622074916605386, 0.9622074916605386, 0.7862099059197092]",0.54,3,test,,0.0,5
0.88,43,1,5,1,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.77717739, 0.79753613, 0.84612471, 0.53017539]), array([0.68787545, 0.64195734, 0.55783588, 0.78137797]), array([0.30365112, 0.34828633, 0.42969179, 0.21042535]), array([0.23008156, 0.20897813, 0.15866156, 0.47928384]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.9622074916605386, 0.9379101797445469, 0.9905286019211926, 0.9622074916605386, 0.9379101797445469, 0.9379101797445469, 0.9905286019211926, 0.9905286019211926, 0.7862099059197092, 0.7862099059197092, 0.7862099059197092, 0.9379101797445469, 0.9905286019211926, 0.9905286019211926, 0.9622074916605386, 0.663763019283697, 0.9379101797445469, 0.7862099059197092, 0.7862099059197092, 0.7862099059197092, 0.9369775215965718, 0.9379101797445469, 0.9318206770035824, 0.9379101797445469, 0.9379101797445469, 0.9379101797445469, 0.9379101797445469, 0.7862099059197092, 0.663763019283697, 0.9379101797445469, 0.9379101797445469, 0.7689081131380032, 0.9622074916605386, 0.7689081131380032, 0.343312930888393, 0.7862099059197092, 0.9905286019211926, 0.9379101797445469, 0.9905286019211926, 0.9622074916605386, 0.7835244807036437, 0.9379101797445469, 0.7862099059197092, 0.9379101797445469, 0.9379101797445469, 0.9622074916605386, 0.9622074916605386, 0.3245950540596075, 0.9622074916605386, 0.7835244807036437]",0.88,4,test,,0.0,8
0.56,17,11,22,0,50,9,1,1,1,0,0,0,9,1,1,1,0,0,0,"(array([0.77717739, 0.79753613, 0.84612471, 0.53017539]), array([0.68787545, 0.64195734, 0.55783588, 0.78137797]), array([0.30365112, 0.34828633, 0.42969179, 0.21042535]), array([0.23008156, 0.20897813, 0.15866156, 0.47928384]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.6602042754826256, 0.7689081131380032, 0.9318206770035824, 0.3245950540596075, 0.7689081131380032, 0.3245950540596075, 0.9318206770035824, 0.9622074916605386, 0.7689081131380032, 0.9905286019211926, 0.9905286019211926, 0.3245950540596075, 0.7689081131380032, 0.7689081131380032, 0.9622074916605386, 0.9622074916605386, 0.7689081131380032, 0.3245950540596075, 0.7862099059197092, 0.9318206770035824, 0.9905286019211926, 0.3245950540596075, 0.7689081131380032, 0.9622074916605386, 0.9622074916605386, 0.9369775215965718, 0.9905286019211926, 0.7689081131380032, 0.9905286019211926, 0.9622074916605386, 0.3245950540596075, 0.9905286019211926, 0.9379101797445469, 0.7689081131380032, 0.9905286019211926, 0.7689081131380032, 0.3245950540596075, 0.32111807636898987, 0.9622074916605386, 0.9905286019211926, 0.3245950540596075, 0.7689081131380032, 0.9379101797445469, 0.3245950540596075, 0.9622074916605386, 0.06395233273795692, 0.7689081131380032, 0.7862099059197092, 0.7862099059197092, 0.9905286019211926]",0.34,5,test,,0.0,3
1.0,50,0,0,0,50,4,1,1,1,0,0,0,4,1,1,1,0,0,0,"(array([0.77717739, 0.79753613, 0.84612471, 0.53017539]), array([0.68787545, 0.64195734, 0.55783588, 0.78137797]), array([0.30365112, 0.34828633, 0.42969179, 0.21042535]), array([0.23008156, 0.20897813, 0.15866156, 0.47928384]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9905286019211926, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.9905286019211926, 0.9905286019211926, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9905286019211926, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.7689081131380032, 0.7835244807036437, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.9905286019211926, 0.7835244807036437, 0.9622074916605386, 0.9622074916605386, 0.9905286019211926, 0.7862099059197092]",1.0,6,test,,0.0,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.77717739, 0.79753613, 0.84612471, 0.53017539]), array([0.68787545, 0.64195734, 0.55783588, 0.78137797]), array([0.30365112, 0.34828633, 0.42969179, 0.21042535]), array([0.23008156, 0.20897813, 0.15866156, 0.47928384]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9379101797445469, 0.9905286019211926, 0.9905286019211926, 0.9369775215965718, 0.9905286019211926, 0.9905286019211926, 0.9379101797445469, 0.9379101797445469, 0.9369775215965718, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9379101797445469, 0.9905286019211926, 0.9905286019211926, 0.9369775215965718, 0.9905286019211926, 0.6822817588710224, 0.9905286019211926, 0.9905286019211926, 0.9379101797445469, 0.9905286019211926, 0.9369775215965718, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9379101797445469, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9379101797445469, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9905286019211926, 0.9379101797445469, 0.6822817588710224]",1.0,7,test,,0.0,9
0.24,8,4,38,0,50,15,1,1,1,0,0,0,15,1,1,1,0,0,0,"(array([0.77717739, 0.79753613, 0.84612471, 0.53017539]), array([0.68787545, 0.64195734, 0.55783588, 0.78137797]), array([0.30365112, 0.34828633, 0.42969179, 0.21042535]), array([0.23008156, 0.20897813, 0.15866156, 0.47928384]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.32111807636898987, 0.7689081131380032, 0.9369775215965718, 0.9318206770035824, 0.9318206770035824, 0.7689081131380032, 0.7689081131380032, 0.7689081131380032, 0.32111807636898987, 0.7689081131380032, 0.6602042754826256, 0.9318206770035824, 0.9318206770035824, 0.6602042754826256, 0.6602042754826256, 0.9905286019211926, 0.9369775215965718, 0.7689081131380032, 0.9318206770035824, 0.9318206770035824, 0.9905286019211926, 0.32111807636898987, 0.9905286019211926, 0.6602042754826256, 0.9905286019211926, 0.7689081131380032, 0.7689081131380032, 0.32111807636898987, 0.7835244807036437, 0.9622074916605386, 0.7689081131380032, 0.7835244807036437, 0.7689081131380032, 0.6602042754826256, 0.7689081131380032, 0.9318206770035824, 0.9905286019211926, 0.9318206770035824, 0.9622074916605386, 0.9318206770035824, 0.9622074916605386, 0.7689081131380032, 0.9318206770035824, 0.6602042754826256, 0.6602042754826256, 0.7835244807036437, 0.9905286019211926, 0.9369775215965718, 0.9369775215965718, 0.9622074916605386]",0.16,8,test,,0.0,1
0.9,45,0,5,0,50,21,1,1,1,0,0,0,21,1,1,1,0,0,0,"(array([0.77717739, 0.79753613, 0.84612471, 0.53017539]), array([0.68787545, 0.64195734, 0.55783588, 0.78137797]), array([0.30365112, 0.34828633, 0.42969179, 0.21042535]), array([0.23008156, 0.20897813, 0.15866156, 0.47928384]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.7689081131380032, 0.9622074916605386, 0.7835244807036437, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.7689081131380032, 0.7689081131380032, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9318206770035824, 0.9905286019211926, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9905286019211926, 0.7689081131380032, 0.7835244807036437, 0.7835244807036437, 0.9622074916605386, 0.7835244807036437, 0.9622074916605386, 0.7835244807036437, 0.7689081131380032, 0.7835244807036437, 0.7835244807036437, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.9622074916605386, 0.7835244807036437, 0.9369775215965718]",0.9,9,test,,0.0,9
