sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,class_balance,problem,set,close_train_idx,distance,difficulty
1.0,50,0,0,0,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.77591723, 0.79837155, 0.84536177, 0.60436666]), array([0.68642598, 0.64336205, 0.55795443, 0.7703495 ]), array([0.30428147, 0.34606579, 0.42875662, 0.22136343]), array([0.23159382, 0.20839997, 0.15966733, 0.4056395 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.755161947598605, 0.9912964583378168, 0.9411488552181178, 0.9564587470085526, 0.9564587470085526, 0.9912964583378168, 0.9429574439132, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9429574439132, 0.755161947598605, 0.755161947598605, 0.9429574439132, 0.9564587470085526, 0.9564587470085526, 0.6988925820695857, 0.9564587470085526, 0.755161947598605, 0.9912964583378168, 0.9564587470085526, 0.9564587470085526, 0.9912964583378168, 0.9564587470085526, 0.9564587470085526, 0.9411488552181178, 0.9429574439132, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9912964583378168, 0.755161947598605, 0.9564587470085526, 0.9429574439132, 0.9564587470085526, 0.9564587470085526, 0.9912964583378168, 0.9564587470085526, 0.9912964583378168, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526]",1.0,0,test,,0.0,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.77591723, 0.79837155, 0.84536177, 0.60436666]), array([0.68642598, 0.64336205, 0.55795443, 0.7703495 ]), array([0.30428147, 0.34606579, 0.42875662, 0.22136343]), array([0.23159382, 0.20839997, 0.15966733, 0.4056395 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.9912964583378168, 0.9411488552181178, 0.9912964583378168, 0.9411488552181178, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.755161947598605, 0.9912964583378168, 0.9912964583378168, 0.9377705915349336, 0.9912964583378168, 0.6988925820695857, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9564587470085526, 0.7440112904583066, 0.9411488552181178, 0.9912964583378168, 0.9912964583378168, 0.9411488552181178, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9564587470085526, 0.9377705915349336, 0.9912964583378168, 0.9912964583378168, 0.9564587470085526, 0.9429574439132, 0.9429574439132, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9411488552181178, 0.9912964583378168, 0.9411488552181178, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9411488552181178, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9411488552181178, 0.9912964583378168]",1.0,1,test,,0.0,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.77591723, 0.79837155, 0.84536177, 0.60436666]), array([0.68642598, 0.64336205, 0.55795443, 0.7703495 ]), array([0.30428147, 0.34606579, 0.42875662, 0.22136343]), array([0.23159382, 0.20839997, 0.15966733, 0.4056395 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.755161947598605, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.755161947598605, 0.9564587470085526, 0.755161947598605, 0.9564587470085526, 0.755161947598605, 0.755161947598605, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.755161947598605, 0.9564587470085526, 0.755161947598605, 0.7612361762876511, 0.755161947598605, 0.755161947598605, 0.755161947598605, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526]",1.0,2,test,,0.0,9
0.58,26,3,20,1,50,47,1,1,1,0,0,0,47,1,1,1,0,0,0,"(array([0.77591723, 0.79837155, 0.84536177, 0.60436666]), array([0.68642598, 0.64336205, 0.55795443, 0.7703495 ]), array([0.30428147, 0.34606579, 0.42875662, 0.22136343]), array([0.23159382, 0.20839997, 0.15966733, 0.4056395 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.289817469975533, 0.9564587470085526, 0.7440112904583066, 0.9377705915349336, 0.9564587470085526, 0.7612361762876511, 0.9564587470085526, 0.7440112904583066, 0.9564587470085526, 0.7440112904583066, 0.7440112904583066, 0.9564587470085526, 0.7440112904583066, 0.6862439945048915, 0.9564587470085526, 0.7612361762876511, 0.6862439945048915, 0.9564587470085526, 0.9564587470085526, 0.7440112904583066, 0.755161947598605, 0.7440112904583066, 0.9377705915349336, 0.7440112904583066, 0.29668431708606224, 0.7440112904583066, 0.9564587470085526, 0.7440112904583066, 0.289817469975533, 0.6790662710372989, 0.755161947598605, 0.7440112904583066, 0.7440112904583066, 0.7440112904583066, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.7440112904583066, 0.29668431708606224, 0.7440112904583066, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.9377705915349336, 0.9564587470085526, 0.7440112904583066, 0.7440112904583066, 0.9912964583378168, 0.9564587470085526, 0.7612361762876511]",0.54,3,test,,0.0,5
0.9,44,1,5,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.77591723, 0.79837155, 0.84536177, 0.60436666]), array([0.68642598, 0.64336205, 0.55795443, 0.7703495 ]), array([0.30428147, 0.34606579, 0.42875662, 0.22136343]), array([0.23159382, 0.20839997, 0.15966733, 0.4056395 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.9564587470085526, 0.9429574439132, 0.9564587470085526, 0.9564587470085526, 0.9429574439132, 0.9429574439132, 0.9564587470085526, 0.9912964583378168, 0.9429574439132, 0.9429574439132, 0.9429574439132, 0.9429574439132, 0.9564587470085526, 0.9912964583378168, 0.9564587470085526, 0.29668431708606224, 0.9429574439132, 0.9429574439132, 0.9429574439132, 0.9429574439132, 0.755161947598605, 0.7612361762876511, 0.7440112904583066, 0.9429574439132, 0.9429574439132, 0.9429574439132, 0.9429574439132, 0.9429574439132, 0.6862439945048915, 0.9429574439132, 0.9429574439132, 0.7440112904583066, 0.9564587470085526, 0.7440112904583066, 0.6988925820695857, 0.9429574439132, 0.9912964583378168, 0.9429574439132, 0.9912964583378168, 0.9564587470085526, 0.755161947598605, 0.9429574439132, 0.9429574439132, 0.9429574439132, 0.9429574439132, 0.9564587470085526, 0.9564587470085526, 0.6862439945048915, 0.9564587470085526, 0.755161947598605]",0.88,4,test,,0.0,8
0.52,17,9,24,0,50,7,1,1,1,0,0,0,7,1,1,1,0,0,0,"(array([0.77591723, 0.79837155, 0.84536177, 0.60436666]), array([0.68642598, 0.64336205, 0.55795443, 0.7703495 ]), array([0.30428147, 0.34606579, 0.42875662, 0.22136343]), array([0.23159382, 0.20839997, 0.15966733, 0.4056395 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.289817469975533, 0.7440112904583066, 0.7440112904583066, 0.29668431708606224, 0.7440112904583066, 0.29668431708606224, 0.7440112904583066, 0.9564587470085526, 0.7440112904583066, 0.9564587470085526, 0.9564587470085526, 0.6862439945048915, 0.7440112904583066, 0.9377705915349336, 0.9564587470085526, 0.9564587470085526, 0.7440112904583066, 0.29668431708606224, 0.7612361762876511, 0.7440112904583066, 0.9564587470085526, 0.6862439945048915, 0.7440112904583066, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.9564587470085526, 0.7440112904583066, 0.9564587470085526, 0.9564587470085526, 0.29668431708606224, 0.9564587470085526, 0.9429574439132, 0.7440112904583066, 0.9564587470085526, 0.7440112904583066, 0.29668431708606224, 0.289817469975533, 0.9564587470085526, 0.9564587470085526, 0.6862439945048915, 0.7440112904583066, 0.7612361762876511, 0.29668431708606224, 0.9564587470085526, 0.05591778568639923, 0.7440112904583066, 0.7612361762876511, 0.7612361762876511, 0.9564587470085526]",0.34,5,test,,0.0,3
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.77591723, 0.79837155, 0.84536177, 0.60436666]), array([0.68642598, 0.64336205, 0.55795443, 0.7703495 ]), array([0.30428147, 0.34606579, 0.42875662, 0.22136343]), array([0.23159382, 0.20839997, 0.15966733, 0.4056395 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.7440112904583066, 0.755161947598605, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.755161947598605, 0.9564587470085526, 0.755161947598605, 0.9564587470085526, 0.9564587470085526, 0.9564587470085526, 0.9429574439132]",1.0,6,test,,0.0,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.77591723, 0.79837155, 0.84536177, 0.60436666]), array([0.68642598, 0.64336205, 0.55795443, 0.7703495 ]), array([0.30428147, 0.34606579, 0.42875662, 0.22136343]), array([0.23159382, 0.20839997, 0.15966733, 0.4056395 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9429574439132, 0.9912964583378168, 0.9912964583378168, 0.755161947598605, 0.9912964583378168, 0.9912964583378168, 0.9429574439132, 0.9429574439132, 0.755161947598605, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9429574439132, 0.9912964583378168, 0.9912964583378168, 0.9411488552181178, 0.9912964583378168, 0.6988925820695857, 0.9912964583378168, 0.9912964583378168, 0.9429574439132, 0.9912964583378168, 0.9411488552181178, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9429574439132, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9429574439132, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9429574439132, 0.6988925820695857]",1.0,7,test,,0.0,9
0.38,8,11,31,0,50,24,1,1,1,0,0,0,24,1,1,1,0,0,0,"(array([0.77591723, 0.79837155, 0.84536177, 0.60436666]), array([0.68642598, 0.64336205, 0.55795443, 0.7703495 ]), array([0.30428147, 0.34606579, 0.42875662, 0.22136343]), array([0.23159382, 0.20839997, 0.15966733, 0.4056395 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.289817469975533, 0.7440112904583066, 0.9411488552181178, 0.7440112904583066, 0.7440112904583066, 0.7440112904583066, 0.7440112904583066, 0.7440112904583066, 0.289817469975533, 0.7440112904583066, 0.289817469975533, 0.7440112904583066, 0.7440112904583066, 0.289817469975533, 0.289817469975533, 0.9564587470085526, 0.9411488552181178, 0.7440112904583066, 0.7440112904583066, 0.7440112904583066, 0.9564587470085526, 0.289817469975533, 0.9564587470085526, 0.289817469975533, 0.9912964583378168, 0.7440112904583066, 0.7440112904583066, 0.289817469975533, 0.755161947598605, 0.9564587470085526, 0.7440112904583066, 0.9411488552181178, 0.7440112904583066, 0.289817469975533, 0.7440112904583066, 0.7440112904583066, 0.9912964583378168, 0.7440112904583066, 0.9564587470085526, 0.7440112904583066, 0.9564587470085526, 0.7440112904583066, 0.7440112904583066, 0.289817469975533, 0.289817469975533, 0.755161947598605, 0.9912964583378168, 0.755161947598605, 0.9411488552181178, 0.9564587470085526]",0.16,8,test,,0.0,1
0.9,45,0,5,0,50,3,1,1,1,0,0,0,3,1,1,1,0,0,0,"(array([0.77591723, 0.79837155, 0.84536177, 0.60436666]), array([0.68642598, 0.64336205, 0.55795443, 0.7703495 ]), array([0.30428147, 0.34606579, 0.42875662, 0.22136343]), array([0.23159382, 0.20839997, 0.15966733, 0.4056395 ]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'LDLReward (27.2B)']","[0.7440112904583066, 0.9564587470085526, 0.9411488552181178, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9564587470085526, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9377705915349336, 0.7440112904583066, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9564587470085526, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9377705915349336, 0.9564587470085526, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9564587470085526, 0.7440112904583066, 0.755161947598605, 0.9411488552181178, 0.9912964583378168, 0.9411488552181178, 0.9912964583378168, 0.755161947598605, 0.7440112904583066, 0.9411488552181178, 0.9411488552181178, 0.9564587470085526, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9411488552181178, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.9912964583378168, 0.755161947598605, 0.9411488552181178]",0.9,9,test,,0.0,9
