sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,class_balance,problem,set,close_train_idx,distance,difficulty
0.18,0,9,41,0,50,36,0,0,0,0,1,0,36,1,0,0,0,1,0,"(array([0.71553171, 0.51906687, 0.7838006 , 0.81821805]), array([0.75827825, 0.77541918, 0.68426764, 0.61064988]), array([0.23473057, 0.21632876, 0.30692574, 0.37822056]), array([0.29049557, 0.48797691, 0.22019744, 0.18454474]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.4300488490381925, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.4554778233980157, 0.8568931325943298, 0.8568931325943298, 0.4300488490381925, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.4300488490381925, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.4300488490381925, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.4300488490381925, 0.4300488490381925, 0.9580367014944727, 0.8568931325943298, 0.8568931325943298, 0.4300488490381925, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.4300488490381925]",0.0,0,test,,0.0,0
1.0,50,0,0,0,50,21,1,1,1,0,0,0,21,1,1,1,0,0,0,"(array([0.71553171, 0.51906687, 0.7838006 , 0.81821805]), array([0.75827825, 0.77541918, 0.68426764, 0.61064988]), array([0.23473057, 0.21632876, 0.30692574, 0.37822056]), array([0.29049557, 0.48797691, 0.22019744, 0.18454474]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9945253670777553, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802]",1.0,1,test,,0.0,9
1.0,50,0,0,0,50,33,1,1,1,0,0,0,33,1,1,1,0,0,0,"(array([0.71553171, 0.51906687, 0.7838006 , 0.81821805]), array([0.75827825, 0.77541918, 0.68426764, 0.61064988]), array([0.23473057, 0.21632876, 0.30692574, 0.37822056]), array([0.29049557, 0.48797691, 0.22019744, 0.18454474]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9945253670777553, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.8693800080955836, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802]",1.0,2,test,,0.0,9
0.98,49,0,0,1,50,13,1,1,1,0,0,0,13,1,1,1,0,0,0,"(array([0.71553171, 0.51906687, 0.7838006 , 0.81821805]), array([0.75827825, 0.77541918, 0.68426764, 0.61064988]), array([0.23473057, 0.21632876, 0.30692574, 0.37822056]), array([0.29049557, 0.48797691, 0.22019744, 0.18454474]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.7617837436980667, 0.9794427722778802, 0.8572210058243641, 0.9581441630582002, 0.9794427722778802, 0.7612977385008187, 0.9794427722778802, 0.8568931325943298, 0.9620886916894583, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.9580367014944727, 0.9945253670777553, 0.7612977385008187, 0.7612977385008187, 0.9620886916894583, 0.9794427722778802, 0.7617837436980667, 0.9620886916894583, 0.7612977385008187, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.8568931325943298, 0.9794427722778802, 0.7612977385008187, 0.7612977385008187, 0.9945253670777553, 0.9794427722778802, 0.8568931325943298, 0.9945253670777553, 0.9794427722778802, 0.8568931325943298, 0.8572210058243641, 0.9945253670777553, 0.28667951912871986, 0.8568931325943298, 0.7612977385008187, 0.9580367014944727, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.7612977385008187, 0.9581441630582002, 0.9580367014944727, 0.9794427722778802, 0.9794427722778802]",1.0,3,test,,0.0,9
0.72,32,4,11,3,50,1,0,1,0,0,0,1,1,1,0,0,0,1,0,"(array([0.71553171, 0.51906687, 0.7838006 , 0.81821805]), array([0.75827825, 0.77541918, 0.68426764, 0.61064988]), array([0.23473057, 0.21632876, 0.30692574, 0.37822056]), array([0.29049557, 0.48797691, 0.22019744, 0.18454474]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.456141670402267, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.8572210058243641, 0.8568931325943298, 0.8568931325943298, 0.9794427722778802, 0.8693800080955836, 0.9794427722778802, 0.9794427722778802, 0.8693800080955836, 0.8568931325943298, 0.4554778233980157, 0.9620886916894583, 0.8568931325943298, 0.4554778233980157, 0.9620886916894583, 0.8572210058243641, 0.8693800080955836, 0.8568931325943298, 0.9794427722778802, 0.8572210058243641, 0.9620886916894583, 0.9620886916894583, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9620886916894583, 0.9620886916894583, 0.4300488490381925, 0.9794427722778802, 0.9620886916894583, 0.4300488490381925, 0.9794427722778802, 0.9794427722778802, 0.8693800080955836, 0.9794427722778802, 0.8693800080955836, 0.8693800080955836, 0.9794427722778802, 0.7612977385008187, 0.9794427722778802, 0.4554778233980157, 0.8693800080955836, 0.8568931325943298, 0.09535506932330576, 0.9794427722778802, 0.9794427722778802]",0.7,4,test,,0.0,6
0.82,40,1,5,4,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.71553171, 0.51906687, 0.7838006 , 0.81821805]), array([0.75827825, 0.77541918, 0.68426764, 0.61064988]), array([0.23473057, 0.21632876, 0.30692574, 0.37822056]), array([0.29049557, 0.48797691, 0.22019744, 0.18454474]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.8568931325943298, 0.9945253670777553, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.09535506932330576, 0.7612977385008187, 0.8568931325943298, 0.7612977385008187, 0.8568931325943298, 0.8568931325943298, 0.8568931325943298, 0.7612977385008187, 0.8568931325943298, 0.4300488490381925, 0.8568931325943298, 0.8568931325943298, 0.9580367014944727, 0.8568931325943298, 0.9794427722778802, 0.8568931325943298, 0.7420627190710856, 0.8568931325943298, 0.4300488490381925, 0.7612977385008187, 0.8568931325943298, 0.7420627190710856, 0.7420627190710856, 0.8568931325943298, 0.8568931325943298, 0.4300488490381925, 0.9794427722778802, 0.9580367014944727, 0.8568931325943298, 0.9580367014944727, 0.9580367014944727, 0.8568931325943298, 0.8568931325943298, 0.7612977385008187, 0.7420627190710856, 0.8568931325943298, 0.8568931325943298, 0.9620886916894583, 0.8568931325943298, 0.7612977385008187, 0.9580367014944727, 0.8568931325943298, 0.28667951912871986, 0.9580367014944727]",0.88,5,test,,0.0,8
1.0,50,0,0,0,50,6,1,1,1,0,0,0,6,1,1,1,0,0,0,"(array([0.71553171, 0.51906687, 0.7838006 , 0.81821805]), array([0.75827825, 0.77541918, 0.68426764, 0.61064988]), array([0.23473057, 0.21632876, 0.30692574, 0.37822056]), array([0.29049557, 0.48797691, 0.22019744, 0.18454474]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.9794427722778802, 0.9794427722778802, 0.9581441630582002, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9945253670777553, 0.9945253670777553, 0.8572210058243641, 0.9581441630582002, 0.9945253670777553, 0.9794427722778802, 0.9794427722778802, 0.9945253670777553, 0.9794427722778802, 0.9945253670777553, 0.9945253670777553, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9620886916894583, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9945253670777553, 0.9945253670777553, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9620886916894583, 0.9945253670777553, 0.9945253670777553, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.9945253670777553, 0.9794427722778802, 0.9620886916894583, 0.8572210058243641, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802]",1.0,6,test,,0.0,9
0.84,41,1,7,1,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.71553171, 0.51906687, 0.7838006 , 0.81821805]), array([0.75827825, 0.77541918, 0.68426764, 0.61064988]), array([0.23473057, 0.21632876, 0.30692574, 0.37822056]), array([0.29049557, 0.48797691, 0.22019744, 0.18454474]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.9945253670777553, 0.9794427722778802, 0.9581441630582002, 0.9945253670777553, 0.9794427722778802, 0.9794427722778802, 0.8568931325943298, 0.9580367014944727, 0.9794427722778802, 0.28667951912871986, 0.8568931325943298, 0.9794427722778802, 0.8568931325943298, 0.8572210058243641, 0.9794427722778802, 0.8693800080955836, 0.9945253670777553, 0.9794427722778802, 0.8568931325943298, 0.9794427722778802, 0.9794427722778802, 0.9945253670777553, 0.7612977385008187, 0.8568931325943298, 0.9794427722778802, 0.8568931325943298, 0.9945253670777553, 0.9794427722778802, 0.9794427722778802, 0.9945253670777553, 0.8693800080955836, 0.4554778233980157, 0.9580367014944727, 0.8572210058243641, 0.9794427722778802, 0.9945253670777553, 0.7612977385008187, 0.9580367014944727, 0.9945253670777553, 0.9794427722778802, 0.9794427722778802, 0.9794427722778802, 0.9581441630582002, 0.9794427722778802, 0.8693800080955836, 0.9945253670777553, 0.9945253670777553, 0.9794427722778802, 0.9581441630582002, 0.7612977385008187]",0.84,7,test,,0.0,8
1.0,50,0,0,0,50,1,1,1,1,0,0,0,1,1,1,1,0,0,0,"(array([0.71553171, 0.51906687, 0.7838006 , 0.81821805]), array([0.75827825, 0.77541918, 0.68426764, 0.61064988]), array([0.23473057, 0.21632876, 0.30692574, 0.37822056]), array([0.29049557, 0.48797691, 0.22019744, 0.18454474]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.9794427722778802, 0.9945253670777553, 0.9945253670777553, 0.9581441630582002, 0.9945253670777553, 0.9794427722778802, 0.9581441630582002, 0.9794427722778802, 0.9581441630582002, 0.9945253670777553, 0.9945253670777553, 0.8572210058243641, 0.9945253670777553, 0.9794427722778802, 0.9945253670777553, 0.9794427722778802, 0.9945253670777553, 0.9581441630582002, 0.9945253670777553, 0.9581441630582002, 0.9945253670777553, 0.9945253670777553, 0.9794427722778802, 0.8572210058243641, 0.9581441630582002, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9794427722778802, 0.9945253670777553, 0.9794427722778802, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9581441630582002, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9581441630582002]",1.0,8,test,,0.0,9
0.88,41,3,5,1,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.71553171, 0.51906687, 0.7838006 , 0.81821805]), array([0.75827825, 0.77541918, 0.68426764, 0.61064988]), array([0.23473057, 0.21632876, 0.30692574, 0.37822056]), array([0.29049557, 0.48797691, 0.22019744, 0.18454474]))","['QwenPRM_min_scores (7.63B)', 'LDLReward (27.2B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)']","[0.9620886916894583, 0.7612977385008187, 0.9945253670777553, 0.7612977385008187, 0.9620886916894583, 0.7612977385008187, 0.9945253670777553, 0.8568931325943298, 0.9945253670777553, 0.9945253670777553, 0.9620886916894583, 0.9945253670777553, 0.9581441630582002, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9945253670777553, 0.9620886916894583, 0.7612977385008187, 0.7612977385008187, 0.9945253670777553, 0.4554778233980157, 0.9620886916894583, 0.9945253670777553, 0.8568931325943298, 0.8568931325943298, 0.9945253670777553, 0.9945253670777553, 0.4554778233980157, 0.7612977385008187, 0.9945253670777553, 0.7612977385008187, 0.9945253670777553, 0.9945253670777553, 0.28667951912871986, 0.4554778233980157, 0.9945253670777553, 0.9581441630582002, 0.9581441630582002, 0.7612977385008187, 0.9581441630582002, 0.9620886916894583, 0.9620886916894583, 0.7612977385008187, 0.9945253670777553, 0.9794427722778802, 0.9581441630582002, 0.7612977385008187, 0.9945253670777553, 0.7617837436980667]",0.84,9,test,,0.0,8
