sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,class_balance,problem,set,close_train_idx,distance,difficulty
0.18,0,9,41,0,50,0,0,0,0,0,1,0,0,1,0,0,0,1,0,"(array([0.76754826, 0.78766948, 0.82297039, 0.45490822]), array([0.73120165, 0.68428701, 0.61181062, 0.78616071]), array([0.26166672, 0.30722851, 0.37738833, 0.20530972]), array([0.23939647, 0.21863984, 0.18211672, 0.55316049]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.41914887608532436, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.44145714204778586, 0.8527293444928934, 0.8527293444928934, 0.41914887608532436, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.41914887608532436, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.41914887608532436, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.41914887608532436, 0.41914887608532436, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.41914887608532436, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.8527293444928934, 0.41914887608532436]",0.0,0,test,,0.0,0
1.0,50,0,0,0,50,12,1,1,1,0,0,0,12,1,1,1,0,0,0,"(array([0.76754826, 0.78766948, 0.82297039, 0.45490822]), array([0.73120165, 0.68428701, 0.61181062, 0.78616071]), array([0.26166672, 0.30722851, 0.37738833, 0.20530972]), array([0.23939647, 0.21863984, 0.18211672, 0.55316049]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.981088048132669, 0.9480073168214389, 0.981088048132669, 0.8660446219213715, 0.981088048132669, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.953181137840029, 0.981088048132669, 0.8660446219213715, 0.981088048132669, 0.9939157998417075, 0.981088048132669, 0.981088048132669, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.953181137840029, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.981088048132669, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.9939157998417075, 0.981088048132669, 0.981088048132669, 0.9939157998417075, 0.9939157998417075, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.8660446219213715, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.9939157998417075, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669]",1.0,1,test,,0.0,9
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.76754826, 0.78766948, 0.82297039, 0.45490822]), array([0.73120165, 0.68428701, 0.61181062, 0.78616071]), array([0.26166672, 0.30722851, 0.37738833, 0.20530972]), array([0.23939647, 0.21863984, 0.18211672, 0.55316049]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.8762564576078581, 0.981088048132669, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669]",1.0,2,test,,0.0,9
0.98,49,0,0,1,50,26,1,1,1,0,0,0,26,1,1,1,0,0,0,"(array([0.76754826, 0.78766948, 0.82297039, 0.45490822]), array([0.73120165, 0.68428701, 0.61181062, 0.78616071]), array([0.26166672, 0.30722851, 0.37738833, 0.20530972]), array([0.23939647, 0.21863984, 0.18211672, 0.55316049]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.46879290927115697, 0.981088048132669, 0.8660446219213715, 0.8660446219213715, 0.981088048132669, 0.8762564576078581, 0.981088048132669, 0.981088048132669, 0.8762564576078581, 0.981088048132669, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.8762564576078581, 0.9570794920520185, 0.8762564576078581, 0.981088048132669, 0.7353811164585532, 0.8762564576078581, 0.8762564576078581, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.9939157998417075, 0.8762564576078581, 0.8762564576078581, 0.9939157998417075, 0.9939157998417075, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.8660446219213715, 0.9939157998417075, 0.7353811164585532, 0.981088048132669, 0.8762564576078581, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.9939157998417075, 0.9939157998417075, 0.8762564576078581, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.981088048132669]",1.0,3,test,,0.0,9
0.82,34,7,8,1,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.76754826, 0.78766948, 0.82297039, 0.45490822]), array([0.73120165, 0.68428701, 0.61181062, 0.78616071]), array([0.26166672, 0.30722851, 0.37738833, 0.20530972]), array([0.23939647, 0.21863984, 0.18211672, 0.55316049]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.46879290927115697, 0.981088048132669, 0.9939157998417075, 0.8660446219213715, 0.8527293444928934, 0.41914887608532436, 0.981088048132669, 0.8527293444928934, 0.8527293444928934, 0.9570794920520185, 0.981088048132669, 0.981088048132669, 0.8762564576078581, 0.8527293444928934, 0.44145714204778586, 0.8762564576078581, 0.981088048132669, 0.8762564576078581, 0.44145714204778586, 0.953181137840029, 0.8762564576078581, 0.981088048132669, 0.9939157998417075, 0.8660446219213715, 0.8762564576078581, 0.8762564576078581, 0.8527293444928934, 0.9939157998417075, 0.981088048132669, 0.9570794920520185, 0.7133762697237893, 0.8660446219213715, 0.981088048132669, 0.44145714204778586, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.8762564576078581, 0.9939157998417075, 0.8762564576078581, 0.8762564576078581, 0.981088048132669, 0.44145714204778586, 0.981088048132669, 0.44145714204778586, 0.8762564576078581, 0.981088048132669, 0.46879290927115697, 0.981088048132669, 0.9939157998417075]",0.7,4,test,,0.0,6
0.86,42,1,5,2,50,11,1,1,1,0,0,0,11,1,1,1,0,0,0,"(array([0.76754826, 0.78766948, 0.82297039, 0.45490822]), array([0.73120165, 0.68428701, 0.61181062, 0.78616071]), array([0.26166672, 0.30722851, 0.37738833, 0.20530972]), array([0.23939647, 0.21863984, 0.18211672, 0.55316049]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.981088048132669, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.8527293444928934, 0.981088048132669, 0.46879290927115697, 0.7133762697237893, 0.981088048132669, 0.8762564576078581, 0.981088048132669, 0.9939157998417075, 0.981088048132669, 0.7133762697237893, 0.981088048132669, 0.953181137840029, 0.981088048132669, 0.8527293444928934, 0.981088048132669, 0.981088048132669, 0.9480073168214389, 0.981088048132669, 0.953181137840029, 0.9939157998417075, 0.8660446219213715, 0.8762564576078581, 0.8527293444928934, 0.8660446219213715, 0.8660446219213715, 0.981088048132669, 0.981088048132669, 0.41914887608532436, 0.9939157998417075, 0.9939157998417075, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.9939157998417075, 0.981088048132669, 0.44145714204778586, 0.953181137840029, 0.981088048132669, 0.981088048132669, 0.8762564576078581, 0.981088048132669, 0.8762564576078581, 0.9939157998417075, 0.981088048132669, 0.7353811164585532, 0.981088048132669]",0.88,5,test,,0.0,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.76754826, 0.78766948, 0.82297039, 0.45490822]), array([0.73120165, 0.68428701, 0.61181062, 0.78616071]), array([0.26166672, 0.30722851, 0.37738833, 0.20530972]), array([0.23939647, 0.21863984, 0.18211672, 0.55316049]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.9939157998417075, 0.9939157998417075, 0.953181137840029, 0.981088048132669, 0.9939157998417075, 0.981088048132669, 0.9939157998417075, 0.9939157998417075, 0.8660446219213715, 0.953181137840029, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9570794920520185, 0.9939157998417075, 0.9939157998417075, 0.953181137840029, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9570794920520185, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.981088048132669, 0.9939157998417075, 0.981088048132669, 0.981088048132669, 0.953181137840029, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.9570794920520185, 0.953181137840029, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075]",1.0,6,test,,0.0,9
0.88,42,2,6,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.76754826, 0.78766948, 0.82297039, 0.45490822]), array([0.73120165, 0.68428701, 0.61181062, 0.78616071]), array([0.26166672, 0.30722851, 0.37738833, 0.20530972]), array([0.23939647, 0.21863984, 0.18211672, 0.55316049]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.9939157998417075, 0.981088048132669, 0.953181137840029, 0.981088048132669, 0.9480073168214389, 0.9939157998417075, 0.9480073168214389, 0.981088048132669, 0.9939157998417075, 0.2367465979527334, 0.981088048132669, 0.9939157998417075, 0.981088048132669, 0.953181137840029, 0.9939157998417075, 0.8762564576078581, 0.9939157998417075, 0.981088048132669, 0.9480073168214389, 0.981088048132669, 0.9480073168214389, 0.981088048132669, 0.8762564576078581, 0.9480073168214389, 0.8527293444928934, 0.981088048132669, 0.9939157998417075, 0.981088048132669, 0.9939157998417075, 0.9939157998417075, 0.7133762697237893, 0.8762564576078581, 0.9939157998417075, 0.953181137840029, 0.9939157998417075, 0.9939157998417075, 0.44145714204778586, 0.9939157998417075, 0.9480073168214389, 0.8527293444928934, 0.9939157998417075, 0.9939157998417075, 0.8660446219213715, 0.8527293444928934, 0.8762564576078581, 0.981088048132669, 0.8527293444928934, 0.981088048132669, 0.953181137840029, 0.8762564576078581]",0.84,7,test,,0.0,8
1.0,50,0,0,0,50,0,1,1,1,0,0,0,0,1,1,1,0,0,0,"(array([0.76754826, 0.78766948, 0.82297039, 0.45490822]), array([0.73120165, 0.68428701, 0.61181062, 0.78616071]), array([0.26166672, 0.30722851, 0.37738833, 0.20530972]), array([0.23939647, 0.21863984, 0.18211672, 0.55316049]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.9939157998417075, 0.981088048132669, 0.9939157998417075, 0.953181137840029, 0.9939157998417075, 0.9939157998417075, 0.953181137840029, 0.981088048132669, 0.8660446219213715, 0.9939157998417075, 0.981088048132669, 0.953181137840029, 0.981088048132669, 0.9939157998417075, 0.981088048132669, 0.9939157998417075, 0.9939157998417075, 0.953181137840029, 0.981088048132669, 0.8660446219213715, 0.9939157998417075, 0.9939157998417075, 0.981088048132669, 0.8660446219213715, 0.953181137840029, 0.981088048132669, 0.9939157998417075, 0.981088048132669, 0.9939157998417075, 0.9939157998417075, 0.981088048132669, 0.9939157998417075, 0.9939157998417075, 0.981088048132669, 0.981088048132669, 0.9939157998417075, 0.8660446219213715, 0.9939157998417075, 0.9939157998417075, 0.981088048132669, 0.9939157998417075, 0.9939157998417075, 0.981088048132669, 0.9939157998417075, 0.9939157998417075, 0.9939157998417075, 0.981088048132669, 0.981088048132669, 0.9939157998417075, 0.8660446219213715]",1.0,8,test,,0.0,9
0.88,39,5,3,3,50,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.76754826, 0.78766948, 0.82297039, 0.45490822]), array([0.73120165, 0.68428701, 0.61181062, 0.78616071]), array([0.26166672, 0.30722851, 0.37738833, 0.20530972]), array([0.23939647, 0.21863984, 0.18211672, 0.55316049]))","['DeepSeekQwen (32B)', 'GPM (8B)', 'EurusPRMStage2_avg_scores (7.62B)', 'EurusPRMStage2_max_scores (7.62B)']","[0.8762564576078581, 0.7133762697237893, 0.9939157998417075, 0.9570794920520185, 0.9570794920520185, 0.8762564576078581, 0.981088048132669, 0.8527293444928934, 0.9939157998417075, 0.981088048132669, 0.9570794920520185, 0.981088048132669, 0.953181137840029, 0.981088048132669, 0.981088048132669, 0.981088048132669, 0.9939157998417075, 0.9570794920520185, 0.8762564576078581, 0.44145714204778586, 0.981088048132669, 0.44145714204778586, 0.9570794920520185, 0.981088048132669, 0.8527293444928934, 0.8527293444928934, 0.9939157998417075, 0.9939157998417075, 0.44145714204778586, 0.44145714204778586, 0.981088048132669, 0.44145714204778586, 0.981088048132669, 0.981088048132669, 0.08966853644662003, 0.44145714204778586, 0.981088048132669, 0.8660446219213715, 0.8660446219213715, 0.8762564576078581, 0.953181137840029, 0.8762564576078581, 0.8762564576078581, 0.8762564576078581, 0.9939157998417075, 0.9939157998417075, 0.953181137840029, 0.8762564576078581, 0.9939157998417075, 0.46879290927115697]",0.84,9,test,,0.0,8
